Country,Birth Rate (per 1000),Life Expectancy (years),Population 0-14 (%),Population 65+ (%),Total Population,GDP (current US$),GDP Growth (%),Broadband Subscriptions (per 100),Mobile Subscriptions (per 100),Secure Internet Servers (per 1M),Electricity from Coal (%),Electricity from Oil (%),Forest Area (%),Renewable Energy (%),Health Expenditure (% GDP),Tertiary Education Enrollment (%),Female Labor Participation (%),Patent Applications,Rural Population (%),Unemployment Rate (%),UNESCO Total Sites,UNESCO Cultural Sites,UNESCO Natural Sites,UNESCO Mixed Sites,Life Evaluation Score,Forest Coverage (%),Irrigated Land (km²),Soybean Production (tonnes),Healthy Diet Cost (PPP $/day),Nobel Laureates Total
Manual,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,World Happiness Report,FAO via Wikipedia,CIA World Factbook via Wikipedia,FAO FAOSTAT,FAO SOFI Report,Wikipedia Nobel Lists
Current,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,July 2025,July 2025,July 2025,July 2025,2024,2022,2020,2023,2024,July 2025
Malaysia,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,58.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,6,4,2,0,5.955,58.2,4420,,3.77,0
Mexico,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,33.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,36,28,6,2,6.979,33.8,60620,199163,3.89,3
Netherlands,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,11.0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,13,12,1,0,7.306,11.0,2969,0,2.9,22
New Zealand,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,37.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,3,0,2,1,6.952,37.7,7000,,3.21,3
Norway,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,33.5,TBD,TBD,TBD,TBD,TBD,TBD,TBD,8,7,1,0,7.262,33.5,337,0,4.01,14
Pakistan,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,4.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,6,6,0,0,4.657,4.7,193400,9,3.82,2
Philippines,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,21.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,6,3,3,0,6.107,21.8,16270,616,4.1,1
Poland,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,31.0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,17,15,2,0,6.673,31.0,760,47030,3.91,18
Singapore,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,21.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,1,1,0,0,6.565,21.2,0,,3.48,0
South Africa,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,7.6,TBD,TBD,TBD,TBD,TBD,TBD,TBD,12,7,4,1,5.213,7.6,16700,2770000,3.74,11
Spain,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,37.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,50,44,4,2,6.466,37.2,37593,7670,3.35,8
Sweden,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,68.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,15,13,1,1,7.345,68.7,519,0,3.56,34
Switzerland,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,32.3,TBD,TBD,TBD,TBD,TBD,TBD,TBD,13,9,4,0,6.935,32.3,327,6949,2.85,25
Thailand,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,37.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,8,5,3,0,6.222,37.1,64150,20016,4.93,0
Turkey,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,29.3,TBD,TBD,TBD,TBD,TBD,TBD,TBD,22,20,0,2,5.262,29.3,52150,137500,4.5,4
United Kingdom,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,13.3,TBD,TBD,TBD,TBD,TBD,TBD,TBD,35,29,5,1,6.728,13.3,718,,2.12,142
United States,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,33.9,TBD,TBD,TBD,TBD,TBD,TBD,TBD,26,13,12,1,6.724,33.9,234782,113343420,2.63,420
Vietnam,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,45.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,9,6,2,1,6.352,45.1,46000,48103,3.96,1
