Country,Birth Rate (per 1000),Life Expectancy (years),Population 0-14 (%),Population 65+ (%),Total Population,GDP (current US$),GDP Growth (%),Broadband Subscriptions (per 100),Mobile Subscriptions (per 100),Secure Internet Servers (per 1M),Electricity from Coal (%),Electricity from Oil (%),Forest Area (%),Renewable Energy (%),Health Expenditure (% GDP),Tertiary Education Enrollment (%),Female Labor Participation (%),Patent Applications,Rural Population (%),Unemployment Rate (%),UNESCO Total Sites,UNESCO Cultural Sites,UNESCO Natural Sites,UNESCO Mixed Sites,Life Evaluation Score,Forest Coverage (%),Irrigated Land (km²),Soybean Production (tonnes),Healthy Diet Cost (PPP $/day),Nobel Laureates Total,Crime Index,Pollution Index,Total Airports
Manual,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,World Happiness Report,FAO via Wikipedia,CIA World Factbook via Wikipedia,FAO FAOSTAT,FAO SOFI Report,Wikipedia Nobel Lists,Numbeo Crime Index,Numbeo Pollution Index,CIA World Factbook
Current,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,July 2025,July 2025,July 2025,July 2025,2024,2022,2020,2023,2024,July 2025,2025 Mid-Year,2025 Mid-Year,2025
Germany,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,32.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,55,52,3,0,6.753,32.7,5056,129000,3.56,115,39.56,28.83,840
Iceland,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,0.5,TBD,TBD,TBD,TBD,TBD,TBD,TBD,3,1,2,0,7.515,0.5,0.5,0,3.02,1,25.79,16.67,82
India,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,24.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,44,36,7,1,4.389,24.1,715539,14984927,3.36,13,44.25,72.81,315
Indonesia,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,49.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,10,6,4,0,5.617,49.1,91360,326493,4.64,0,46.06,68.07,556
Ireland,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,11.5,TBD,TBD,TBD,TBD,TBD,TBD,TBD,2,2,0,0,6.889,11.5,0,0,2.48,11,48.64,34.85,100
Israel,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,6.5,TBD,TBD,TBD,TBD,TBD,TBD,TBD,9,9,0,0,7.234,6.5,2159,0,3.02,13,31.73,56.7,40
Italy,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,32.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,61,55,6,0,6.415,32.7,26010,1095940,3.61,21,47.24,53.4,655
Japan,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,68.4,TBD,TBD,TBD,TBD,TBD,TBD,TBD,26,21,5,1,6.147,68.4,15730,260800,6.54,31,22.7,38.21,280
Malaysia,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,58.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,6,4,2,0,5.955,58.2,4420,,3.77,0,48.62,60.87,100
Mexico,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,33.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,36,28,6,2,6.979,33.8,60620,199163,3.89,3,53.17,58.35,1580
Netherlands,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,11.0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,13,12,1,0,7.306,11.0,2969,0,2.9,22,25.83,20.91,44
New Zealand,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,37.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,3,0,2,1,6.952,37.7,7000,,3.21,3,48.45,26.0,206
Norway,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,33.5,TBD,TBD,TBD,TBD,TBD,TBD,TBD,8,7,1,0,7.262,33.5,337,0,4.01,14,32.83,18.27,146
Pakistan,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,4.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,6,6,0,0,4.657,4.7,193400,9,3.82,2,42.44,73.2,117
Philippines,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,21.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,6,3,3,0,6.107,21.8,16270,616,4.1,1,43.4,72.51,256
Poland,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,31.0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,17,15,2,0,6.673,31.0,760,47030,3.91,18,28.71,55.34,318
Singapore,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,21.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,1,1,0,0,6.565,21.2,0,,3.48,0,22.62,32.33,9
South Africa,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,7.6,TBD,TBD,TBD,TBD,TBD,TBD,TBD,12,7,4,1,5.213,7.6,16700,2770000,3.74,11,74.57,56.68,573
Spain,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,37.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,50,44,4,2,6.466,37.2,37593,7670,3.35,8,37.17,35.26,365
Sweden,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,68.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,15,13,1,1,7.345,68.7,519,0,3.56,34,48.06,17.58,206
Switzerland,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,32.3,TBD,TBD,TBD,TBD,TBD,TBD,TBD,13,9,4,0,6.935,32.3,327,6949,2.85,25,26.71,23.97,66
Thailand,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,37.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,8,5,3,0,6.222,37.1,64150,20016,4.93,0,36.84,75.56,105
Turkey,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,29.3,TBD,TBD,TBD,TBD,TBD,TBD,TBD,22,20,0,2,5.262,29.3,52150,137500,4.5,4,41.35,64.07,116
United Kingdom,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,13.3,TBD,TBD,TBD,TBD,TBD,TBD,TBD,35,29,5,1,6.728,13.3,718,,2.12,142,48.42,40.69,1057
United States,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,33.9,TBD,TBD,TBD,TBD,TBD,TBD,TBD,26,13,12,1,6.724,33.9,234782,113343420,2.63,420,49.17,36.87,16116
Vietnam,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,45.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,9,6,2,1,6.352,45.1,46000,48103,3.96,1,40.38,83.82,36
