Country,Birth Rate (per 1000),Life Expectancy (years),Population 0-14 (%),Population 65+ (%),Total Population,GDP (current US$),GDP Growth (%),Broadband Subscriptions (per 100),Mobile Subscriptions (per 100),Secure Internet Servers (per 1M),Electricity from Coal (%),Electricity from Oil (%),Forest Area (%),Renewable Energy (%),Health Expenditure (% GDP),Tertiary Education Enrollment (%),Female Labor Participation (%),Patent Applications,Rural Population (%),Unemployment Rate (%),UNESCO Total Sites,UNESCO Cultural Sites,UNESCO Natural Sites,UNESCO Mixed Sites,Life Evaluation Score,Forest Coverage (%),Irrigated Land (km²),Soybean Production (tonnes),Healthy Diet Cost (PPP $/day),Nobel Laureates Total,Crime Index,Pollution Index,Total Airports
Manual,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,CIA World Factbook,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,World Happiness Report,FAO via Wikipedia,CIA World Factbook via Wikipedia,FAO FAOSTAT,FAO SOFI Report,Wikipedia Nobel Lists,Numbeo Crime Index,Numbeo Pollution Index,CIA World Factbook
Current,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2024,July 2025,July 2025,July 2025,July 2025,2024,2022,2020,2023,2024,July 2025,2025 Mid-Year,2025 Mid-Year,2025
Ireland,10.3,82.86,19.02,15.54,"5,307,600","551,394,889,339",-5.53,31.89,110.8,150045.41,4.34,0.72,11.47,12.7,6.12,76.6,59.97,75,35.53,4.4,2,2,0,0,6.889,11.5,0,0,2.48,11,48.64,34.85,100
Israel,18.6,83.2,27.61,12.42,"9,849,000","512,184,638,998",1.83,29.44,153.34,12925.07,17.5,0.16,6.47,6.2,7.34,57.64,61.83,"1,592",7.15,3.2,9,9,0,0,7.234,6.5,2159,0,3.02,13,31.73,56.7,40
Italy,6.4,83.7,12.14,24.22,"58,993,475","2,304,605,139,862",0.72,31.84,131.87,30239.31,5.44,3.86,32.71,17.5,8.52,73.9,41.31,"10,281",28.03,6.8,61,55,6,0,6.415,32.7,26010,1095940,3.61,21,47.24,53.4,655
Japan,6,84.04,11.65,29.56,"124,516,650","4,213,167,237,905",1.48,38.63,178.43,31701.71,28.55,3.14,68.41,8.8,11.42,64.63,54.85,"222,452",7.96,2.6,26,21,5,1,6.147,68.4,15730,260800,6.54,31,22.7,38.21,280
Malaysia,12.41,76.66,22.29,7.45,"35,126,298","399,705,137,434",3.56,13.03,142.73,8082.52,46.76,0.54,57.87,7.5,3.91,41.26,51.57,883,21.28,3.8,6,4,2,0,5.955,58.2,4420,N/A,3.77,0,48.62,60.87,100
Mexico,15.71,75.07,24.92,7.99,"129,739,759","1,793,798,859,343",3.3,20.09,111.56,412.12,6.56,6.57,33.66,13,5.72,46.41,47.32,"1,117",18.42,2.7,36,28,6,2,6.979,33.8,60620,199163,3.89,3,53.17,58.35,1580
Netherlands,9.2,81.91,15.17,20.16,"17,877,117","1,154,361,305,398",0.07,43.26,117.35,194962.87,8.82,1.26,11.03,12.2,10.1,89.39,62.94,"2,080",6.82,3.6,13,12,1,0,7.306,11.0,2969,0,2.9,22,25.83,20.91,44
New Zealand,10.86,83.0,18.37,16.8,"5,245,000","255,194,972,673",1.39,37.85,126.86,18830.7,2.45,0.01,37.72,28.9,10.03,77.01,66.93,330,13.02,4.9,3,0,2,1,6.952,37.7,7000,N/A,3.21,3,48.45,26.0,206
Norway,9.4,83.11,16.51,18.53,"5,519,594","482,949,731,776",0.07,45.44,111.66,37715.09,0.1,0.01,33.48,61.4,7.95,97.64,61.77,946,16.0,4.0,8,7,1,0,7.262,33.5,337,0,4.01,14,32.83,18.27,146
Pakistan,27.81,67.65,37.04,4.2,"247,504,495","337,885,531,778",-0.04,1.36,76.54,113.36,15.91,16.59,4.73,41.6,2.9,11.22,24.2,426,61.96,5.5,6,6,0,0,4.657,4.7,193400,9,3.82,2,42.44,73.2,117
Philippines,16.02,69.83,28.61,5.26,"114,891,199","437,055,627,244",5.52,6.54,117.28,305.5,59.57,2.26,24.34,28,5.11,45.28,50.37,490,51.71,2.2,6,3,3,0,6.107,21.8,16270,616,4.1,1,43.4,72.51,256
