Country,Birth Rate (per 1000),Life Expectancy (years),Population 0-14 (%),Population 65+ (%),Total Population,GDP (current US$),GDP Growth (%),Fixed Broadband (/100),Mobile Subscriptions (/100),Secure Internet Servers (/1M),Coal Electricity (%),Oil Electricity (%),Forest Area (%),Renewable Energy (%),Health Expenditure (% GDP),Tertiary Enrollment (%),Female Labor Participation (%),Patent Applications,Rural Population (%),Unemployment (%),Total UNESCO Sites,Cultural UNESCO Sites,Natural UNESCO Sites,Mixed UNESCO Sites,Life Evaluation Score,Social Support Ranking,Freedom Ranking,Generosity Ranking,Helped Stranger Ranking,Forest Percentage,Irrigated Land (km²),Soybean Production (tonnes),Healthy Diet Cost (PPP$),Nobel Laureates Total
Manual,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,UNESCO Centre + User Verified,UNESCO Centre + User Verified,UNESCO Centre + User Verified,UNESCO Centre + User Verified,World Happiness Report,World Happiness Report,World Happiness Report,World Happiness Report,World Happiness Report,FAO/Wikipedia,FAO/Wikipedia,FAO 2023,FAO SOFI July 2024,Wikipedia Nobel List
Current,2023,2023,2024,2024,2024,2024,2024,2023,2023,2024,2023,2023,2022,2021,2023,2022,2024,2021,2024,2024,Current 2025,Current 2025,Current 2025,Current 2025,Latest Report,Latest Report,Latest Report,Latest Report,Latest Report,2023/Current,2023/Current,2023,2022,July 2025
Netherlands,9.20,81.91,15.03,20.50,17994237,1227543925316,0.98,43.26,117.35,198674.11,8.82,1.26,11.03,12.20,10.10,89.39,62.88,2080,6.55,3.60,13,12,1,0,7.306,28,41,9,128,11.00,2969,0,2.90,22
Norway,,,,,,,,,,,,,,,,,,,,,8,7,1,0,7.262,19,17,18,92,33.50,337,0,4.01,14
New Zealand,,,,,,,,,,,,,,,,,,,,,3,0,2,1,6.952,24,32,25,41,37.70,7000,,3.21,3
Philippines,,,,,,,,,,,,,,,,,,,,,6,3,3,0,6.107,68,19,91,20,21.80,16270,616,4.10,1
Poland,,,,,,,,,,,,,,,,,,,,,17,15,2,0,6.673,34,37,114,141,31.00,760,47030,3.91,18
Singapore,,,,,,,,,,,,,,,,,,,,,1,1,0,0,6.565,53,55,24,65,21.20,0,,3.48,0
Sweden,9.50,83.31,16.99,20.75,10569709,610117791237,0.97,40.73,140.27,55097.26,0.32,0.16,68.70,57.90,10.89,83.90,61.68,1771,11.02,8.53,15,13,1,1,7.345,27,21,20,71,68.70,519,0,3.56,34
Thailand,,,,,,,,,,,,,,,,,,,,,8,5,3,0,6.222,50,16,8,87,37.10,64150,20016,4.93,0
Turkey,11.20,77.16,21.45,10.28,85518661,1323254808059,3.18,22.46,105.68,11103.40,36.31,0.37,29.28,12,3.70,127.58,36.31,8234,22.11,8.45,22,20,0,2,5.262,73,140,107,120,29.30,52150,137500,4.50,4
United States,10.70,78.39,17.32,17.93,340110988,29184890000000,2.80,38.15,112.41,196554.13,16.77,0.73,33.87,10.90,16.50,79.36,56.51,262244,16.48,4.11,26,13,12,1,6.724,12,115,16,22,33.90,234782,113343420,2.63,420
Vietnam,,,,,,,,,,,,,,,,,,,,,9,6,2,1,6.352,49,2,129,98,45.10,46000,48103,3.96,1
South Africa,,,,,,,,,,,,,,,,,,,,,12,7,4,1,5.213,80,96,121,74,7.60,16700,2770000,3.74,11
